signal_date,rows,tickers,momentum_score_missing,low_volatility_score_missing,composite_score_missing
2024-10-31,197,197,0.0,0.0,0
2024-11-29,197,197,0.0,0.0,0
2024-12-30,197,197,0.0,0.0,0
2025-01-31,197,197,0.0,0.0,0
2025-02-28,198,198,0.0,0.0,0
2025-03-31,198,198,0.0,0.0,0
2025-04-30,198,198,0.0,0.0,0
2025-05-30,199,199,0.0,0.0,0
2025-06-30,199,199,0.0,0.0,0
2025-07-31,199,199,0.0,0.0,0
2025-08-29,199,199,0.0,0.0,0
2025-09-30,199,199,0.0,0.0,0
2025-10-31,199,199,0.0,0.0,0
2025-11-28,200,200,0.0,0.0,0
2025-12-30,200,200,0.0,0.0,0
2026-01-30,200,200,0.0,0.0,0
2026-02-27,200,200,0.0,0.0,0
2026-03-31,200,200,0.0,0.0,0
2026-04-30,200,200,0.0,0.0,0
2026-05-29,200,200,0.0,0.0,0
2026-06-30,200,200,0.0,0.0,0
