signal_date,rows,tickers,value_score_missing,quality_score_missing,growth_score_missing,momentum_score_missing,low_volatility_score_missing,composite_score_missing,average_weight_coverage
2020-04-29,177,177,0,0,0,0,0,0,1.0
2020-05-29,177,177,0,0,0,0,0,0,1.0
2020-06-30,177,177,0,0,0,0,0,0,1.0
2020-07-31,178,178,0,0,0,0,0,0,1.0
2020-08-31,178,178,0,0,0,0,0,0,1.0
2020-09-29,178,178,0,0,0,0,0,0,1.0
2020-10-30,179,179,0,0,0,0,0,0,1.0
2020-11-30,179,179,0,0,0,0,0,0,1.0
2020-12-30,179,179,0,0,0,0,0,0,1.0
2021-01-29,180,180,1,1,1,0,0,0,0.9966666666666666
2021-02-26,180,180,1,1,1,0,0,0,0.9966666666666666
2021-03-31,181,181,1,1,1,0,0,0,0.996685082872928
2021-04-30,181,181,1,1,1,0,0,0,0.996685082872928
2021-05-31,183,183,2,2,2,0,0,0,0.9934426229508195
2021-06-30,183,183,2,2,2,0,0,0,0.9934426229508195
2021-07-30,184,184,2,2,2,0,0,0,0.9934782608695651
2021-08-31,186,186,2,2,2,0,0,0,0.9935483870967741
2021-09-30,187,187,2,2,2,0,0,0,0.9935828877005347
2021-10-29,187,187,2,2,2,0,0,0,0.9935828877005347
2021-11-30,189,189,3,3,3,0,0,0,0.9904761904761904
2021-12-30,189,189,3,3,3,0,0,0,0.9904761904761904
2022-01-28,190,190,3,3,3,0,0,0,0.9905263157894736
2022-02-28,190,190,3,3,3,0,0,0,0.9905263157894736
2022-03-31,190,190,0,0,0,0,0,0,0.9999999999999999
2022-04-29,190,190,0,0,0,0,0,0,0.9999999999999999
2022-05-31,190,190,0,0,0,0,0,0,0.9999999999999999
2022-06-30,190,190,0,0,0,0,0,0,0.9999999999999999
2022-07-29,190,190,0,0,0,0,0,0,0.9999999999999999
2022-08-31,190,190,0,0,0,0,0,0,0.9999999999999999
2022-09-30,190,190,0,0,0,0,0,0,0.9999999999999999
2022-10-31,190,190,0,0,0,0,0,0,0.9999999999999999
2022-11-30,190,190,0,0,0,0,0,0,0.9999999999999999
2022-12-29,190,190,0,0,0,0,0,0,0.9999999999999999
2023-01-31,190,190,0,0,0,0,0,0,0.9999999999999999
2023-02-28,190,190,0,0,0,0,0,0,0.9999999999999999
2023-03-31,190,190,0,0,0,0,0,0,0.9999999999999999
2023-04-28,190,190,0,0,0,0,0,0,0.9999999999999999
2023-05-31,192,192,2,2,2,0,0,0,0.9937499999999999
2023-06-30,192,192,2,2,2,0,0,0,0.9937499999999999
2023-07-31,192,192,2,2,2,0,0,0,0.9937499999999999
2023-08-31,192,192,2,2,2,0,0,0,0.9937499999999999
2023-09-27,192,192,2,2,2,0,0,0,0.9937499999999999
2023-10-31,193,193,2,2,2,0,0,0,0.993782383419689
2023-11-30,194,194,2,2,2,0,0,0,0.9938144329896906
2023-12-28,194,194,2,2,2,0,0,0,0.9938144329896906
2024-01-31,194,194,2,2,2,0,0,0,0.9938144329896906
2024-02-29,195,195,2,2,2,0,0,0,0.9938461538461537
2024-03-29,195,195,2,2,2,0,0,0,0.9938461538461537
2024-04-30,195,195,0,0,0,0,0,0,0.9999999999999999
2024-05-31,196,196,0,0,0,0,0,0,0.9999999999999999
2024-06-28,196,196,0,0,0,0,0,0,0.9999999999999999
2024-07-31,197,197,0,0,0,0,0,0,0.9999999999999999
2024-08-30,197,197,0,0,0,0,0,0,0.9999999999999999
2024-09-30,197,197,0,0,0,0,0,0,0.9999999999999999
2024-10-31,197,197,0,0,0,0,0,0,0.9999999999999999
2024-11-29,197,197,0,0,0,0,0,0,0.9999999999999999
2024-12-30,197,197,0,0,0,0,0,0,0.9999999999999999
2025-01-31,197,197,0,0,0,0,0,0,0.9999999999999999
2025-02-28,198,198,0,0,0,0,0,0,0.9999999999999999
2025-03-31,198,198,0,0,0,0,0,0,0.9999999999999999
2025-04-30,198,198,0,0,0,0,0,0,0.9999999999999999
2025-05-30,199,199,0,0,0,0,0,0,0.9999999999999999
2025-06-30,199,199,0,0,0,0,0,0,0.9999999999999999
2025-07-31,199,199,0,0,0,0,0,0,0.9999999999999999
2025-08-29,199,199,0,0,0,0,0,0,0.9999999999999999
2025-09-30,199,199,0,0,0,0,0,0,0.9999999999999999
2025-10-31,199,199,0,0,0,0,0,0,0.9999999999999999
2025-11-28,200,200,1,1,1,0,0,0,0.9969999999999999
2025-12-30,200,200,1,1,1,0,0,0,0.9969999999999999
2026-01-30,200,200,1,1,1,0,0,0,0.9969999999999999
2026-02-27,200,200,1,1,1,0,0,0,0.9969999999999999
2026-03-31,200,200,0,0,0,0,0,0,0.9999999999999999
2026-04-30,200,200,0,0,0,0,0,0,0.9999999999999999
2026-05-29,200,200,0,0,0,0,0,0,0.9999999999999999
2026-06-30,200,200,0,0,0,0,0,0,0.9999999999999999
